,key_sin,key_cos,key_is_major,Key degree,avg_fifths_distance,nonbasic_edge_ratio,ext_any_ratio,Progression_template,bucket_year,cluster_id,intra_sd,cluster_size,song_title,performer,style_id,is_representative,major,is_new_style
26,0.8660254037844386,0.5000000000000001,1.0,2,2.076923076923077,0.2307692307692307,0.0718614718614718,BLUES-PLAGAL,1998,1,0.11400989550923576,581,One Last Breath,Creed,1,0,1,0
27,-0.8660254037844384,-0.5000000000000004,0.0,8,1.8333333333333333,0.0,0.1551094890510949,BLUES-PLAGAL,1998,2,0.1049700767848927,380,Livin' It Up,Ja Rule Featuring Case,4,0,0,0
28,-0.8660254037844384,-0.5000000000000004,1.0,8,2.0526315789473686,0.2105263157894736,0.0625494853523356,BLUES-PLAGAL,2003,0,0.10361040720710926,638,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,2,0,1,1
29,0.8660254037844386,0.5000000000000001,1.0,2,2.071428571428572,0.1428571428571428,0.0987551867219916,BLUES-PLAGAL,2003,1,0.08991830883306522,580,Sorry,Buckcherry,1,0,1,0
30,0.8660254037844387,-0.4999999999999998,0.0,4,2.5,0.25,0.0,TONIC-LOVERS,2003,2,0.09148888196477922,396,Headstrong,Trapt,5,0,0,1
31,0.8660254037844386,0.5000000000000001,1.0,2,1.9523809523809523,0.1904761904761904,0.0648148148148148,BLUES-PLAGAL,2008,0,0.08941242687488286,894,One,Adam Lambert,1,0,1,0
32,0.49999999999999994,-0.8660254037844387,0.0,5,2.6,0.3,0.2024590163934426,TONIC-LOVERS,2008,1,0.08860353076775118,375,Take It Off,Ke$ha,5,0,0,1
33,-0.8660254037844384,-0.5000000000000004,1.0,8,2.0,0.1666666666666666,0.0339168490153173,BLUES-PLAGAL,2008,2,0.09321053545165145,798,Enchanted,Taylor Swift,2,0,1,1
34,0.49999999999999994,-0.8660254037844387,0.0,5,2.6666666666666665,0.3333333333333333,0.0,TONIC-LOVERS,2013,0,0.08715975958617816,496,The Matrimony,Wale Featuring Usher,5,1,0,1
35,0.8660254037844386,0.5000000000000001,1.0,2,2.25,0.25,0.0488215488215488,BLUES-PLAGAL,2013,1,0.08338739412876217,721,Real Life,The Weeknd,1,0,1,0
36,-0.8660254037844384,-0.5000000000000004,1.0,8,2.0,0.25,0.1357615894039735,BLUES-PLAGAL,2013,2,0.0970274964171379,713,Top Of The World,Tim McGraw,2,0,1,1
