,bucket_year,style_id,Unnamed: 0,tempo_bpm,time_signature,swing,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rhythm_regular,rep_source
43,1998,5,32.0,101.3,3/4,0.0,0.0,0.0950702080583942,58.0,Put Me Down,Donell Jones,0.0,0.0,1.0,0.0,medoid
44,1998,4,,117.5,4/4,0.0,,,319.0,Only If...,Enya,,,,,top1
45,2003,3,38.0,90.7,3/4,1.0,2.0,0.0769565536382234,66.0,Flashing Lights,Kanye West Featuring Dwele,0.0,1.0,0.0,0.0,medoid
46,2003,2,39.0,89.1,4/4,1.0,3.0,0.0387563329756857,514.0,Chrome,Trace Adkins,0.0,1.0,0.0,1.0,medoid
47,2003,1,36.0,95.7,4/4,0.0,0.0,0.039357061139731,967.0,X Gon' Give It To Ya,DMX,0.0,1.0,1.0,1.0,medoid
48,2003,5,37.0,101.3,3/4,0.0,1.0,0.0849973107346425,67.0,How You Want That,Loon Featuring Kelis,0.0,0.0,1.0,0.0,medoid
49,2003,4,,117.5,4/4,0.0,,,388.0,In My Life,Juvenile Featuring Mannie Fresh,,,,,top1
50,2008,3,43.0,95.7,3/4,1.0,3.0,0.0756498536050426,128.0,Pure Imagination,Glee Cast,0.0,1.0,0.0,0.0,medoid
51,2008,2,42.0,86.1,4/4,1.0,2.0,0.0408902665409105,697.0,She's Country,Jason Aldean,0.0,1.0,0.0,1.0,medoid
52,2008,1,41.0,92.3,4/4,0.0,1.0,0.0347605577711466,1119.0,I Won't Tell,Fat Joe Featuring J. Holiday,0.0,1.0,1.0,1.0,medoid
53,2008,5,40.0,97.5,3/4,0.0,0.0,0.0785408918382311,123.0,My Apocalypse,Metallica,0.0,0.0,1.0,0.0,medoid
54,2008,4,,117.5,4/4,0.0,,,430.0,Fly Like Me,Chingy Featuring Amerie,,,,,top1
55,2013,3,46.0,97.5,3/4,1.0,2.0,0.0909956788316357,122.0,Make It Rain,Ed Sheeran,0.0,1.0,0.0,0.0,medoid
56,2013,2,45.0,86.1,4/4,1.0,1.0,0.051734366305741,558.0,Demons,Imagine Dragons,0.0,1.0,0.0,1.0,medoid
57,2013,1,47.0,95.7,4/4,0.0,3.0,0.0422648411586984,1102.0,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,0.0,1.0,1.0,1.0,medoid
58,2013,5,44.0,103.4,3/4,0.0,0.0,0.0713759589336587,148.0,Bruises,Train Featuring Ashley Monroe,0.0,0.0,1.0,0.0,medoid
59,2013,4,,117.5,4/4,0.0,,,427.0,Chloe (You're The One I Want),Emblem3,,,,,top1
