,bucket_year,style_id,Unnamed: 0,diatonic_pct,triad_pct,mode_sin,mode_cos,step_range,ioi_mean,n_peaks,repeat_ratio,pitch_mean,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rep_source
0,1958,2,0.0,0.8858363429157642,0.6676709013234304,0.4338837391175582,-0.900968867902419,23.0,0.85897440478125,10.0,0.4545454545454545,61.48484848484848,0.0,0.0521839840636319,591.0,The Purple People Eater Meets The Witch Doctor,Joe South,0.0,1.0,1.0,medoid
1,1958,3,1.0,0.919420985995777,0.59089108320014,0.0,1.0,23.0,0.8244902364857144,9.0,0.5,60.36111111111112,1.0,0.0534019440353104,412.0,Jump Over,Freddy Cannon,1.0,1.0,0.0,medoid
2,1958,1,2.0,0.950626315330664,0.6259539144879275,0.7818314824680298,0.6234898018587336,25.0,0.7083761069210526,9.0,0.6410256410256411,58.61538461538461,2.0,0.0359352802561245,1405.0,Cradle Of Love,Johnny Preston,0.0,1.0,1.0,medoid
3,1958,4,,0.7896352232798128,0.6508336723538638,-0.9749279121818236,-0.2225209339563146,22.0,0.8096265853448276,7.0,0.5333333333333333,58.86666666666667,,,198.0,Plain Jane,Bobby Darin,,,,top1
4,1958,5,,0.8991090971920113,0.5678134877101122,0.9749279121818236,-0.2225209339563143,22.0,0.7015677672682927,9.0,0.4761904761904761,60.333333333333336,,,285.0,I Told Myself A Lie,Clyde McPhatter,,,,top1
5,1963,2,5.0,0.9057277259460864,0.5712317738890683,0.4338837391175582,-0.900968867902419,23.0,0.7657902998333334,8.0,0.5405405405405406,61.891891891891895,2.0,0.0367379300897128,563.0,Go-Go Girl,Lee Dorsey,0.0,1.0,1.0,medoid
6,1963,3,3.0,0.9314940436277503,0.5909151797921867,0.0,1.0,19.0,0.8402032012941176,10.0,0.5142857142857142,57.74285714285714,0.0,0.0341349080558014,443.0,Stout-Hearted Men,Barbra Streisand,0.0,1.0,0.0,medoid
7,1963,1,7.0,0.960077496092988,0.6224696154029122,0.7818314824680298,0.6234898018587336,22.0,0.8554376870666667,10.0,0.5483870967741935,58.774193548387096,4.0,0.025855826128464,1442.0,Hanky Panky,Tommy James And The Shondells,0.0,1.0,1.0,medoid
8,1963,4,4.0,0.8085017305107598,0.6665026844310917,-0.9749279121818236,-0.2225209339563146,22.0,0.8128208909354839,8.0,0.46875,63.40625,1.0,0.0400082111908353,267.0,Stay Away From My Baby,Ted Taylor,0.0,0.0,1.0,medoid
9,1963,5,6.0,0.9102872447002458,0.5711140918326776,0.9749279121818236,-0.2225209339563143,21.0,0.559633996173077,10.0,0.5660377358490566,62.79245283018868,3.0,0.026541067493584,413.0,(There's) Always Something There To Remind Me,Sandie Shaw,0.0,0.0,0.0,medoid
10,1968,2,9.0,0.9331606962662852,0.5872498765189824,0.4338837391175582,-0.900968867902419,18.0,0.8264805183142858,10.0,0.6111111111111112,63.888888888888886,1.0,0.0407414651583517,547.0,"Promises, Promises",Dionne Warwick,0.0,1.0,1.0,medoid
11,1968,3,11.0,0.8946673841548092,0.6624953727281595,0.0,1.0,21.0,0.8324513638000001,8.0,0.5833333333333334,59.5,3.0,0.0343197943965715,365.0,Take A Look Around,Smith,0.0,1.0,0.0,medoid
12,1968,1,10.0,0.946848708265816,0.6445196968905026,0.7818314824680298,0.6234898018587336,20.0,0.7925577475555555,10.0,0.6486486486486487,59.51351351351352,2.0,0.0273729878272323,1128.0,Up On The Roof,Laura Nyro,0.0,1.0,1.0,medoid
13,1968,4,12.0,0.7815618546471883,0.5619788574233855,-0.9749279121818236,-0.2225209339563146,19.0,0.8811059240312501,7.0,0.4848484848484848,63.21212121212121,4.0,0.0410326627220735,322.0,(You've Got) Personality And Chantilly Lace,Mitch Ryder,1.0,0.0,1.0,medoid
