,diatonic_pct,triad_pct,mode_sin,mode_cos,step_range,ioi_mean,n_peaks,repeat_ratio,pitch_mean,bucket_year,cluster_id,intra_sd,cluster_size,song_title,performer,style_id,is_representative,major,is_new_style
0,0.8858363429157642,0.6676709013234304,0.43388373911755823,-0.900968867902419,23.0,0.85897440478125,10.0,0.4545454545454545,61.48484848484848,1958,0,0.052183984063631915,591,The Purple People Eater Meets The Witch Doctor,Joe South,2,0,1,1
1,0.919420985995777,0.59089108320014,0.0,1.0,23.0,0.8244902364857144,9.0,0.5,60.36111111111112,1958,1,0.053401944035310456,412,Jump Over,Freddy Cannon,3,1,1,0
2,0.950626315330664,0.6259539144879275,0.7818314824680298,0.6234898018587336,25.0,0.7083761069210526,9.0,0.6410256410256411,58.61538461538461,1958,2,0.03593528025612454,1405,Cradle Of Love,Johnny Preston,1,0,1,1
3,0.9314940436277503,0.5909151797921867,0.0,1.0,19.0,0.8402032012941176,10.0,0.5142857142857142,57.74285714285714,1963,0,0.03413490805580145,443,Stout-Hearted Men,Barbra Streisand,3,0,1,0
4,0.8085017305107598,0.6665026844310917,-0.9749279121818236,-0.2225209339563146,22.0,0.8128208909354839,8.0,0.46875,63.40625,1963,1,0.04000821119083536,267,Stay Away From My Baby,Ted Taylor,4,0,0,1
5,0.9057277259460864,0.5712317738890683,0.43388373911755823,-0.900968867902419,23.0,0.7657902998333334,8.0,0.5405405405405406,61.891891891891895,1963,2,0.036737930089712885,563,Go-Go Girl,Lee Dorsey,2,0,1,1
6,0.9102872447002458,0.5711140918326776,0.9749279121818236,-0.22252093395631434,21.0,0.559633996173077,10.0,0.5660377358490566,62.79245283018868,1963,3,0.02654106749358403,413,(There's) Always Something There To Remind Me,Sandie Shaw,5,0,0,0
7,0.960077496092988,0.6224696154029122,0.7818314824680298,0.6234898018587336,22.0,0.8554376870666667,10.0,0.5483870967741935,58.774193548387096,1963,4,0.025855826128464033,1442,Hanky Panky,Tommy James And The Shondells,1,0,1,1
8,0.928630508451232,0.5975843005726563,0.9749279121818236,-0.22252093395631434,17.0,0.8108899773142857,7.0,0.5277777777777778,60.72222222222222,1968,0,0.025941497564181057,422,Turn On A Dream,The Box Tops,5,0,0,0
9,0.9331606962662852,0.5872498765189824,0.43388373911755823,-0.900968867902419,18.0,0.8264805183142858,10.0,0.6111111111111112,63.888888888888886,1968,1,0.04074146515835171,547,"Promises, Promises",Dionne Warwick,2,0,1,1
