,bucket_year,style_id,Unnamed: 0,instrument_count,timbre_brightness,acoustic,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rep_source
29,1973,7,,3.0,0.1710499376058578,0.3688329821099474,0.583,0.792,0.0335,0.00392,1.33e-05,0.375,0.551,-5.855,,,108.0,Jukin,Atlanta Rhythm Section,,,,top1
30,1973,6,,3.0,0.0811710134148597,0.8039775373291984,0.478,0.499,0.0376,0.355,0.0,0.141,0.349,-10.511,,,100.0,Air Disaster,Albert Hammond,,,,top1
31,1973,8,,7.0,0.1577362120151519,0.4992348688555156,0.853,0.771,0.127,0.237,0.000361,0.0536,0.898,-6.599,,,24.0,Too Hot Ta Trot,Commodores,,,,top1
32,1978,5,13.0,3.0,0.0597312040627002,0.7078708768100049,0.457,0.328,0.0345,0.495,1.13e-05,0.0624,0.329,-11.928,1.0,0.0305838383569984,395.0,Lady,Little River Band,0.0,1.0,0.0,medoid
33,1978,4,,4.0,0.0615724474191665,0.7778184269622176,0.712,0.753,0.0399,0.756,1.58e-06,0.169,0.953,-7.666,,,150.0,(Bringing Out) The Girl In Me,Maxine Nightingale,,,,top1
34,1978,3,,4.0,0.0539130195975303,0.7395935044234762,0.566,0.523,0.0241,0.683,0.00036,0.165,0.694,-10.248,,,311.0,Dreamer,The Association,,,,top1
35,1978,1,12.0,5.0,0.1237553060054779,0.5402679960840839,0.625,0.616,0.0377,0.172,7.290000000000001e-05,0.116,0.717,-9.8785,0.0,0.0376297147785703,955.0,I'm So Glad I'm Standing Here Today,The Crusaders With Joe Cocker,0.0,1.0,1.0,medoid
36,1978,2,14.0,3.0,0.1799394935369491,0.6771648485874983,0.686,0.769,0.0348,0.0619,0.000187,0.0975,0.875,-9.04,2.0,0.0329464746924966,642.0,Warm Ride,Rare Earth,0.0,1.0,1.0,medoid
37,1978,7,,3.0,0.26378133893013,0.4202898580723642,0.629,0.846,0.0927,0.0812,0.00265,0.103,0.569,-8.497,,,147.0,Sausalito Summernight,Diesel,,,,top1
38,1978,6,,3.0,0.1398620158433914,0.6603990322638613,0.346,0.538,0.0322,0.249,0.0,0.145,0.301,-9.956,,,90.0,Still They Ride,Journey,,,,top1
39,1978,8,,6.0,0.1687905490398407,0.5034491688275848,0.788,0.688,0.0296,0.214,0.000472,0.0545,0.793,-6.912,,,15.0,Ain't Even Done With The Night,John Cougar,,,,top1
40,1983,5,,3.0,0.0043944809585809,0.7945046810236361,0.645,0.211,0.0257,0.822,9.19e-06,0.138,0.174,-12.73,,,69.0,Think Of Laura,Christopher Cross,,,,top1
41,1983,4,,5.0,0.0483619272708892,0.7629720176785565,0.638,0.799,0.0404,0.579,6.77e-05,0.257,0.899,-6.399,,,102.0,You And Me Tonight,Deja,,,,top1
42,1983,3,15.0,4.0,0.1062805578112602,0.6787710688652653,0.543,0.504,0.0443,0.35,0.0,0.114,0.29,-9.726,0.0,0.0279017062349108,290.0,Too Young,Jack Wagner,1.0,1.0,0.0,medoid
43,1983,1,18.0,4.0,0.2029413729906082,0.5566417947460133,0.643,0.706,0.0378,0.102,7.3e-05,0.1205,0.715,-9.5855,3.0,0.0313627641749335,776.0,Baby I'm Hooked,ConFunkShun,1.0,1.0,1.0,medoid
44,1983,2,16.0,5.0,0.0860022753477096,0.6835630640177947,0.751,0.639,0.0361,0.0849,0.000586,0.0763,0.875,-11.497,1.0,0.0272069674849745,479.0,Give Me The Reason,Luther Vandross,0.0,1.0,1.0,medoid
